Estacion,Variable,pct_valido,racha_max_horas,racha_max_dias
CE,CO,94.21,503,21.0
CE,NO,90.92,244,10.2
CE,NO2,93.22,294,12.2
CE,NOX,92.98,1333,55.5
CE,O3,92.66,501,20.9
CE,PM10,97.2,63,2.6
CE,PM2.5,85.84,432,18.0
CE,PRS,97.93,76,3.2
CE,RAINF,98.09,76,3.2
CE,RH,97.65,76,3.2
CE,SO2,95.17,171,7.1
CE,SR,98.72,50,2.1
CE,TOUT,98.05,76,3.2
CE,WSR,97.85,76,3.2
CE,WDR,98.0,76,3.2
NE,CO,88.48,3962,165.1
NE,NO,84.91,713,29.7
NE,NO2,77.8,10067,419.5
NE,NOX,77.8,10070,419.6
NE,O3,76.88,10049,418.7
NE,PM10,96.41,400,16.7
NE,PM2.5,92.8,400,16.7
NE,PRS,94.85,1900,79.2
NE,RAINF,95.81,1463,61.0
NE,RH,94.47,1463,61.0
NE,SO2,77.92,4513,188.0
NE,SR,97.27,442,18.4
NE,TOUT,73.07,2983,124.3
NE,WSR,86.59,1892,78.8
NE,WDR,92.22,1463,61.0
NE2,CO,84.82,2568,107.0
NE2,NO,72.33,5235,218.1
NE2,NO2,72.41,5235,218.1
NE2,NOX,73.28,5301,220.9
NE2,O3,78.0,5113,213.0
NE2,PM10,94.91,167,7.0
NE2,PM2.5,67.21,7356,306.5
NE2,PRS,97.12,96,4.0
NE2,RAINF,97.57,95,4.0
NE2,RH,96.11,559,23.3
NE2,SO2,88.74,2594,108.1
NE2,SR,99.23,43,1.8
NE2,TOUT,97.43,95,4.0
NE2,WSR,86.33,2160,90.0
NE2,WDR,90.52,2388,99.5
NE3,CO,76.02,8784,366.0
NE3,NO,76.37,8784,366.0
NE3,NO2,76.56,8784,366.0
NE3,NOX,76.5,8784,366.0
NE3,O3,78.93,8784,366.0
NE3,PM10,78.53,8784,366.0
NE3,PM2.5,4.2,50225,2092.7
NE3,PRS,79.27,8785,366.0
NE3,RAINF,80.25,8785,366.0
NE3,RH,80.14,8784,366.0
NE3,SO2,51.83,8784,366.0
NE3,SR,73.68,8784,366.0
NE3,TOUT,79.69,8784,366.0
NE3,WSR,77.84,8784,366.0
NE3,WDR,80.12,8784,366.0
NO,CO,72.92,7190,299.6
NO,NO,79.53,1054,43.9
NO,NO2,75.8,5045,210.2
NO,NOX,75.86,4982,207.6
NO,O3,75.06,3659,152.5
NO,PM10,94.42,429,17.9
NO,PM2.5,54.25,5990,249.6
NO,PRS,96.87,89,3.7
NO,RAINF,97.29,89,3.7
NO,RH,87.43,3700,154.2
NO,SO2,82.31,3714,154.8
NO,SR,97.71,46,1.9
NO,TOUT,88.05,4056,169.0
NO,WSR,94.23,157,6.5
NO,WDR,89.48,2045,85.2
NO2,CO,97.26,265,11.0
NO2,NO,90.07,2208,92.0
NO2,NO2,85.9,1790,74.6
NO2,NOX,90.57,1788,74.5
NO2,O3,93.35,644,26.8
NO2,PM10,97.27,265,11.0
NO2,PM2.5,85.38,655,27.3
NO2,PRS,90.15,310,12.9
NO2,RAINF,98.21,265,11.0
NO2,RH,95.47,880,36.7
NO2,SO2,89.17,973,40.5
NO2,SR,80.05,1091,45.5
NO2,TOUT,97.54,342,14.2
NO2,WSR,96.04,265,11.0
NO2,WDR,92.9,265,11.0
NO3,CO,41.85,25561,1065.0
NO3,NO,36.6,25561,1065.0
